frcd,partno,partname,floor,repack,picktime_repack_mean,picktime_repack_std,picktime_norepack_mea,picktime_norepack_std,supplier1,supplier2
F,2825001710T,鼓風機馬達,4,,,,,,DG0,
F,2825001520T,鼓風機馬達,4,,,,,,DG0,
A,8161038020,右駐車燈,4,,,,,,KG0,D401
A,5201220240,左前保險桿支撐臂,4,,,,,,KG0,B601
A,9091901059,火星塞,4,Y,,,,,DG0,
A,04465YZZG7,前煞車來令片組,4,,,,,,TG0,
A,6990220070,玻璃滑槽,4,,,,,,KG0,E502
A,8161138010,右車幅位置燈殼,4,,,,,,KG0,D401
A,5210238010,前保險桿右延伸板,4,,,,,,KG0,F601
A,1788174480,空氣濾清器軟管,4,,,,,,KG0,J004
O,823100802,,4,,,,,,TG0,
7,8713947010DS,空調濾網,4,,,,,,DG0,
2,2677004120,火星塞，SK20HR-11,4,,,,,,#N/A,
2,677008350,,4,,,,,,#N/A,
E,901503050,,4,,,,,,DG0,
N,HA0100000004,M8平墊圈,4,Y,,,,,HTB,
6,C5FJY00P01B,反光背心,4,,,,,,NI2,
N,TGRM19SHA,TOYOTA商用車服務胸章,4,,,,,,XHM,
N,1711AV0010,TPMS套件12V/2顆式,4,,,,,,HI0,
O,400353237,,4,,,,,,HG0,
A,2702013260,發電機總成,4,,,,,,KG0,T015
A,715120A030,椅座墊,4,,,,,,KG0,S912
G,77910V3020,尿素管總成,4,,,,,,TG0,
F,1680004380T,馬達總成,2,,,,,,DG0,
C,S17G1E0010,箱,2,,,,,,HG0,
G,9155301225,螺帽,2,Y,,,,,TG0,
D,5259252470,後保險桿左密封板,2,,,,,,TG0,
A,811102B800,右頭燈總成,2,,,,,,KG0,D401
C,22100E0413,供油泵浦總成,2,,,,,,HG0,
C,2810078127,起動馬達總成,2,,,,,,HG0,
C,82121E0611,引擎配線,3,,,,,,HG0,
G,2330364010,燃油濾清器濾芯次總成,3,,,,,,TG0,
G,7810037620,加速踏板,3,,,,,,TG0,
A,815510K261,組合燈殼,3,,,,,,PG1,
C,8111025280,大燈總成，右,3,,,,,,HG0,
N,CAN225830,2258美紋遮蔽膠帶(1吋)30MM,3,,,,,,NEC,
C,5108337052,車門踏板護板，右,3,,,,,,HG0,
A,8710302351,有葉片鼓風機馬達次總成,3,,,,,,KG0,T015
C,4525237070C0,轉向軸護蓋,3,,,,,,HG0,
D,5329448150,水箱總成左導流板,3,,,,,,TG0,
C,15613EV082,機油濾清器濾芯,3,,,,,,HG0,
S,400434450,,3,,,,,,TG0,
A,6563842010,左後輪弧內襯,3,,,,,,TG0,
A,1770121100,空氣濾清器外殼次總成,3,,,,,,TG0,
A,815618C004,組合燈殼,3,,,,,,KG0,D401
A,G92DH33070,HV電瓶進氣過濾網,3,,,,,,TG0,
A,8531512730,前擋噴水筒總成,3,,,,,,TG0,
C,4470437220,真空蓄壓器,3,,,,,,HG0,
D,8155048470,後綜合燈總成，右,3,,,,,,TG0,
A,424310A040,後煞車碟盤,3,,,,,,PG1,
C,5381437190A0,前側邊鈑，左,3,,,,,,HG0,
D,8156048470,組合燈總成,3,,,,,,TG0,
A,45130BZA61B0,含安全氣囊喇叭按鈕總成,3,,,,,,PG1,
A,87910BZU40,後視鏡總成,3,,,,,,PG1,TAM
A,610630D120,右行李廂開口槽板,2,,,,,,KG0,K001
A,532860D570,水箱總成密封墊,3,,,,,,KG0,J004
D,8156176400,組合燈殼,3,,,,,,TG0,
S,400427878,,3,,,,,,TG0,
C,1780178020,空氣芯,3,,,,,,HG0,
A,8850106321,冷氣機蒸發器,3,,,,,,KG0,T015
A,7592202150,黑絕緣貼膠,3,,,,,,KG0,T017
A,815600DA21,組合燈總成,3,,,,,,KG0,D401
A,485200D390,避震器總成,3,,,,,,KG0,E501
A,8156002240,組合燈總成,3,,,,,,KG0,K001
A,8531502361,前擋噴水筒總成,3,,,,,,KG0,T015
D,8535576050,前擋噴水筒總成,3,,,,,,TG0,
A,6535142010C0,電瓶孔蓋,3,,,,,,TG0,
N,1.78E+11,,3,,,,,,HN1,
D,8156178151,組合燈殼,3,,,,,,TG0,
A,8159002710,左尾燈總成,3,,,,,,KG0,D401
A,815500DA21,右後組合燈總成,3,,,,,,KG0,D401
N,P740142006,"前霧燈飾條, 有霧燈式樣, 左側",3,,,,,,NI2,
A,7592402180,左黑絕緣貼膠,3,,,,,,KG0,T017
F,1680008220T,馬達總成,3,,,,,,DG0,
A,81561YY030,組合燈殼,3,,,,,,KG0,D401
A,1657128250,水箱總成進水管,3,,,,,,TG0,
